"Datum","Viral_Pot","Value_Infectious","Free_Viral","Viraliät_in_Proz","Viralität_pro_X","Dunkelziffer","Menschen_mit_Viruskontakt","Viral_Pot_Plus","Value_Infectious_Plus","Free_Viral_Plus","Viraliät_in_Proz_Plus","Viralität_pro_X_Plus","Dunkelziffer_Plus","Menschen_mit_Viruskontakt_Plus","Viral_Pot_Opt","Value_Infectious_Opt","Free_Viral_Opt","Viraliät_in_Proz_Opt","Viralität_pro_X_Opt","Dunkelziffer_Opt","Menschen_mit_Viruskontakt_Opt","Viral_Pot_Pess","Value_Infectious_Pess","Free_Viral_Pess","Viraliät_in_Proz_Pess","Viralität_pro_X_Pess","Dunkelziffer_Pess","Menschen_mit_Viruskontakt_Pess"
2020-04-05,39221.8864,0.055726653235236,32161.5364,0.00378371016470588,0.00378371016470588,4.686,0.0300464762687833,39221.8864,0.055726653235236,32161.5364,0.00378371016470588,0.00378371016470588,4.686,0.0148033039269542,39221.8864,0.055726653235236,32161.5364,0.00378371016470588,0.00378371016470588,4.686,0.0148033039269542,39221.8864,0.055726653235236,32161.5364,0.00378371016470588,0.00378371016470588,4.686,0.0148033039269542
2020-04-06,34648.3988,0.0678537462160463,28221.03005,0.00332012118235294,0.00332012118235294,4.657,0.031269998549527,34648.3988,0.0678537462160463,28221.03005,0.00332012118235294,0.00332012118235294,4.657,0.0153313680006046,34648.3988,0.0678537462160463,28221.03005,0.00332012118235294,0.00332012118235294,4.657,0.0153313680006046,34648.3988,0.0678537462160463,28221.03005,0.00332012118235294,0.00332012118235294,4.657,0.0153313680006046
2020-04-07,30525.695,0.085223305415891,24389.4825,0.00286935088235294,0.00286935088235294,4.628,0.0322207442178971,30525.695,0.085223305415891,24389.4825,0.00286935088235294,0.00286935088235294,4.628,0.0156220183373712,30525.695,0.085223305415891,24389.4825,0.00286935088235294,0.00286935088235294,4.628,0.0156220183373712,30525.695,0.085223305415891,24389.4825,0.00286935088235294,0.00286935088235294,4.628,0.0156220183373712
2020-04-08,27226.1168,0.0767775940156963,21092.9293,0.00248152109411764,0.00248152109411764,4.599,0.033031129105143,27226.1168,0.0767775940156963,21092.9293,0.00248152109411764,0.00248152109411764,4.599,0.0157811491330839,27226.1168,0.0767775940156963,21092.9293,0.00248152109411764,0.00248152109411764,4.599,0.0157811491330839,27226.1168,0.0767775940156963,21092.9293,0.00248152109411764,0.00248152109411764,4.599,0.0157811491330839
2020-04-09,24633.4699,0.0628217975051557,18366.42615,0.00216075601764706,0.00216075601764706,4.57,0.0337726577601392,24633.4699,0.0628217975051557,18366.42615,0.00216075601764706,0.00216075601764706,4.57,0.0159677631434178,24633.4699,0.0628217975051557,18366.42615,0.00216075601764706,0.00216075601764706,4.57,0.0159677631434178,24633.4699,0.0628217975051557,18366.42615,0.00216075601764706,0.00216075601764706,4.57,0.0159677631434178
2020-04-10,23541.4198,0.0492954364459825,17840.05105,0.00209882953529412,0.00209882953529412,4.541,0.0341804985203871,23541.4198,0.0492954364459825,17840.05105,0.00209882953529412,0.00209882953529412,4.541,0.016044483490193,23541.4198,0.0492954364459825,17840.05105,0.00209882953529412,0.00209882953529412,4.541,0.016044483490193,23541.4198,0.0492954364459825,17840.05105,0.00209882953529412,0.00209882953529412,4.541,0.016044483490193
2020-04-11,23532.9469,0.0356468924818727,18458.5094,0.00217158934117647,0.00217158934117647,4.512,0.0345287521565728,23532.9469,0.0356468924818727,18458.5094,0.00217158934117647,0.00217158934117647,4.512,0.0161776545526992,23532.9469,0.0356468924818727,18458.5094,0.00217158934117647,0.00217158934117647,4.512,0.0161776545526992,23532.9469,0.0356468924818727,18458.5094,0.00217158934117647,0.00217158934117647,4.512,0.0161776545526992
2020-04-12,20675.421,0.035185336019111,16170.43975,0.00190240467647059,0.00190240467647059,4.483,0.0348187428270088,20675.421,0.035185336019111,16170.43975,0.00190240467647059,0.00190240467647059,4.483,0.0163936431112489,20675.421,0.035185336019111,16170.43975,0.00190240467647059,0.00190240467647059,4.483,0.0163936431112489,20675.421,0.035185336019111,16170.43975,0.00190240467647059,0.00190240467647059,4.483,0.0163936431112489
2020-04-13,17754.2928,0.0488926485951122,13747.6803,0.00161737415294118,0.00161737415294118,4.454,0.0351431616135696,17754.2928,0.0488926485951122,13747.6803,0.00161737415294118,0.00161737415294118,4.454,0.0165388720947474,17754.2928,0.0488926485951122,13747.6803,0.00161737415294118,0.00161737415294118,4.454,0.0165388720947474,17754.2928,0.0488926485951122,13747.6803,0.00161737415294118,0.00161737415294118,4.454,0.0165388720947474
2020-04-14,15148.0234,0.0628549750692546,11657.1734,0.00137143216470588,0.00137143216470588,4.425,0.0357072530546917,15148.0234,0.0628549750692546,11657.1734,0.00137143216470588,0.00137143216470588,4.425,0.0167678574848759,15148.0234,0.0628549750692546,11657.1734,0.00137143216470588,0.00137143216470588,4.425,0.0167678574848759,15148.0234,0.0628549750692546,11657.1734,0.00137143216470588,0.00137143216470588,4.425,0.0167678574848759
2020-04-15,13682.307,0.0775757736402155,10236.832,0.00120433317647059,0.00120433317647059,4.396,0.0361442252978145,13682.307,0.0775757736402155,10236.832,0.00120433317647059,0.00120433317647059,4.396,0.0169042869449913,13682.307,0.0775757736402155,10236.832,0.00120433317647059,0.00120433317647059,4.396,0.0169042869449913,13682.307,0.0775757736402155,10236.832,0.00120433317647059,0.00120433317647059,4.396,0.0169042869449913
2020-04-16,13046.9322,0.0751306211173409,9564.40095,0.00112522364117647,0.00112522364117647,4.367,0.0365692801161248,13046.9322,0.0751306211173409,9564.40095,0.00112522364117647,0.00112522364117647,4.367,0.0169845263787871,13046.9322,0.0751306211173409,9564.40095,0.00112522364117647,0.00112522364117647,4.367,0.0169845263787871,13046.9322,0.0751306211173409,9564.40095,0.00112522364117647,0.00112522364117647,4.367,0.0169845263787871
2020-04-17,12479.3445,0.0628006373644661,9452.83199999999,0.00111209788235294,0.00111209788235294,4.338,0.0369546101850603,12479.3445,0.0628006373644661,9452.83199999999,0.00111209788235294,0.00111209788235294,4.338,0.0170533821519036,12479.3445,0.0628006373644661,9452.83199999999,0.00111209788235294,0.00111209788235294,4.338,0.0170533821519036,12479.3445,0.0628006373644661,9452.83199999999,0.00111209788235294,0.00111209788235294,4.338,0.0170533821519036
2020-04-18,12348.7994,0.0448026833185207,9645.20565,0.00113473007647059,0.00113473007647059,4.309,0.0371452889820593,12348.7994,0.0448026833185207,9645.20565,0.00113473007647059,0.00113473007647059,4.309,0.017179483329684,12348.7994,0.0448026833185207,9645.20565,0.00113473007647059,0.00113473007647059,4.309,0.017179483329684,12348.7994,0.0448026833185207,9645.20565,0.00113473007647059,0.00113473007647059,4.309,0.017179483329684
2020-04-19,11948.0915,0.0469830375915121,9598.42275,0.00112922620588235,0.00112922620588235,4.28,0.0372591665969338,11948.0915,0.0469830375915121,9598.42275,0.00112922620588235,0.00112922620588235,4.28,0.0172393123932572,11948.0915,0.0469830375915121,9598.42275,0.00112922620588235,0.00112922620588235,4.28,0.0172393123932572,11948.0915,0.0469830375915121,9598.42275,0.00112922620588235,0.00112922620588235,4.28,0.0172393123932572
2020-04-20,10430.1938,0.0618145486595477,8438.98755,0.000992822064705882,0.000992822064705882,4.251,0.0376259584494944,10430.1938,0.0618145486595477,8438.98755,0.000992822064705882,0.000992822064705882,4.251,0.0173723328402852,10430.1938,0.0618145486595477,8438.98755,0.000992822064705882,0.000992822064705882,4.251,0.0173723328402852,10430.1938,0.0618145486595477,8438.98755,0.000992822064705882,0.000992822064705882,4.251,0.0173723328402852
2020-04-21,9128.218,0.0805748926740578,7160.4555,0.000842406529411765,0.000842406529411765,4.222,0.0379093283283679,9128.218,0.0805748926740578,7160.4555,0.000842406529411765,0.000842406529411765,4.222,0.0174780640388205,9128.218,0.0805748926740578,7160.4555,0.000842406529411765,0.000842406529411765,4.222,0.0174780640388205,9128.218,0.0805748926740578,7160.4555,0.000842406529411765,0.000842406529411765,4.222,0.0174780640388205
2020-04-22,8391.601,0.0813287224894658,6460.89475,0.000760105264705882,0.000760105264705882,4.193,0.0381185453417419,8391.601,0.0813287224894658,6460.89475,0.000760105264705882,0.000760105264705882,4.193,0.017541272102972,8391.601,0.0813287224894658,6460.89475,0.000760105264705882,0.000760105264705882,4.193,0.017541272102972,8391.601,0.0813287224894658,6460.89475,0.000760105264705882,0.000760105264705882,4.193,0.017541272102972
2020-04-23,7701.5821,0.0800132222308476,5817.0071,0.000684353776470588,0.000684353776470588,4.164,0.0383966185873654,7701.5821,0.0800132222308476,5817.0071,0.000684353776470588,0.000684353776470588,4.164,0.017603636833722,7701.5821,0.0800132222308476,5817.0071,0.000684353776470588,0.000684353776470588,4.164,0.017603636833722,7701.5821,0.0800132222308476,5817.0071,0.000684353776470588,0.000684353776470588,4.164,0.017603636833722
2020-04-24,7475.2648,0.0702254273647183,5617.15855,0.000660842182352941,0.000660842182352941,4.135,0.0386190771838643,7475.2648,0.0702254273647183,5617.15855,0.000660842182352941,0.000660842182352941,4.135,0.0176421790103841,7475.2648,0.0702254273647183,5617.15855,0.000660842182352941,0.000660842182352941,4.135,0.0176421790103841,7475.2648,0.0702254273647183,5617.15855,0.000660842182352941,0.000660842182352941,4.135,0.0176421790103841
2020-04-25,7483.8718,0.0472997359632549,5820.87805,0.000684809182352941,0.000684809182352941,4.106,0.0387329547987387,7483.8718,0.0472997359632549,5820.87805,0.000684809182352941,0.000684809182352941,4.106,0.0177166222393427,7483.8718,0.0472997359632549,5820.87805,0.000684809182352941,0.000684809182352941,4.106,0.0177166222393427,7483.8718,0.0472997359632549,5820.87805,0.000684809182352941,0.000684809182352941,4.106,0.0177166222393427
2020-04-26,6678.1408,0.0494750930502289,5199.67205,0.000611726123529412,0.000611726123529412,4.077,0.0388137284558008,6678.1408,0.0494750930502289,5199.67205,0.000611726123529412,0.000611726123529412,4.077,0.01776442322019,6678.1408,0.0494750930502289,5199.67205,0.000611726123529412,0.000611726123529412,4.077,0.01776442322019,6678.1408,0.0494750930502289,5199.67205,0.000611726123529412,0.000611726123529412,4.077,0.01776442322019
